water req,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,Rain,altitude,latitude,longitude,month_April,month_August,month_July,month_June,month_March,month_May,month_September,city_chennai,city_delhi,city_jaipur,city_kolkata,city_kurnool,city_mumbai,soil_BLACK CLAY,soil_red loamy,crop_potato,crop_rice
0.02775866024317497,0.8687022900763353,0.83305785123967,-0.619277108433735,-0.13533525298231197,0.39340659340659334,0.5381788617886172,-0.8662384458718472,0.29257250648431965,-0.6412213740458013,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
-0.8047946776783667,-0.836641221374046,-0.5024793388429751,-0.6895008605851978,-0.406993006993007,0.325274725274725,0.05691056910569081,-0.9898793670687764,0.9998585239330346,0.7722646310432575,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
-0.0971240276126718,0.8335877862595416,0.6628099173553723,-0.308433734939759,0.5796791443850267,0.11208791208791191,0.2732195121951215,-0.8458405138649538,0.999764206555058,0.7620865139949111,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
-0.8045840372061983,-0.8351145038167944,-0.49421487603305714,-0.6888123924268503,-0.4075689016865489,0.3340659340659342,0.04390243902438984,-0.9897227009243303,0.9999056826220232,0.770992366412214,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
-0.999416037873574,0.5343511450381677,-0.17024793388429682,0.6192771084337352,0.18527354997943224,-0.32087912087912085,-0.2325203252032524,-0.3379915400282,0.9997170478660695,0.7633587786259546,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
-0.9253373375878537,0.37709923664122114,-0.3289256198347106,0.8936316695352842,-0.012505141916906659,-0.3318681318681318,-0.331707317073171,-0.2942190192699359,0.9999056826220232,0.7646310432569976,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
-0.07501720661536215,0.0748091603053429,0.3239669421487603,-0.9986230636833048,-0.012093788564376817,0.5450549450549449,0.5984227642276418,-0.9930440231865895,0.999764206555058,0.7620865139949111,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
-0.3505182589835033,0.9908396946564881,0.6677685950413226,-0.033734939759036076,-0.20970793911970387,0.10989010989010972,0.2715447154471544,-0.7547548174839418,-0.014006130629568458,0.9987277353689565,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
-0.5455171119314272,-0.07480916030534424,0.17190082644628202,-0.4808950086058521,-0.6047716988893461,0.775824175824176,0.7918699186991867,-0.8801190662697791,-0.013911813251591632,0.9923664122137406,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
-1.0,0.5267175572519078,-0.824793388429752,0.9631669535283995,0.7775401069518715,-0.989010989010989,-0.9869918699186995,0.9999060003133324,-0.9666116481961802,-0.23409669211195894,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
-0.3505599708023108,1.0,0.6595041322314046,-0.03545611015490513,-0.21003702180172779,0.10109890109890096,0.2715447154471544,-0.7547234842550525,-0.014194765385522334,0.9987277353689565,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
-0.9992909132620076,0.5358778625954193,-0.16198347107437971,0.6209982788296045,0.18519127930892632,-0.3384615384615386,-0.22439024390243922,-0.3381482061726462,0.9999528413110117,0.7608142493638681,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
0.17232893282445927,0.6931297709923658,0.16694214876033087,0.6203098106712561,-0.40748663101604277,0.4087912087912089,0.603252032520325,-0.6106846310512299,-0.9903324687573686,0.22900763358778597,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
-0.9996246011387099,0.6809160305343509,-0.3322314049586774,0.9975903614457833,-0.802303578774167,-0.5362857142857144,-0.5203252032520327,0.056744477518408054,-0.9901909926904032,0.23407124681933889,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
-0.6283175874366514,0.38015267175572465,-0.16528925619834745,0.5177280550774528,-0.20937885643768017,0.6571428571428568,0.7495934959349588,-0.999342002193326,-0.9996227304880925,-0.9885496183206106,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
